action_id,document_path,confidence,review_state,matched_terms
ACC-SOPORTE-TECNICO-Y--F45DA80C53,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/3TR2025/SERVIDOR/Factura_2025-07-25_202783634042_V99933615.pdf,0.835,automatico,servidor|soporte
ACC-SOPORTE-TECNICO-Y--F45DA80C53,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/3TR2025/SERVIDOR/Factura_2025-09-25_202784197236_V99933615.pdf,0.835,automatico,servidor|soporte
ACC-SOPORTE-TECNICO-Y--F45DA80C53,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/3TR2025/SERVIDOR/Factura_2025-08-25_202783913737_V99933615.pdf,0.835,automatico,servidor|soporte
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/3TR2025/SUMINISTROS/FACTURA_MMPVAGI0016002_25-07-2025.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/3TR2025/SUMINISTROS/Factura_MMPVAII001XXXX.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/3TR2025/SUMINISTROS/Factura_FMPVAII004XXXX.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/3TR2025/SUMINISTROS/FACTURA_FMPVAHI0010009_25-08-2025.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/3TR2025/SUMINISTROS/FACTURA_FMPVAGI0013315_25-07-2025.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/3TR2025/SUMINISTROS/FACTURA_MMPVAHI0004037_25-08-2025.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/3TR2025/DIETAS/FACTURA CUANDO SALI DE CUBA MESA 19-25.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/3TR2025/COMERCIALIZACIÓN/MERCARTES/PRODUCCIÓN/factura pie de tv.pdf,0.78,automatico,contabilidad
ACC-COMERCIALIZACION-8BC2ED0AC1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/3TR2025/COMERCIALIZACIÓN/MERCARTES/PRODUCCIÓN/Factura STAND ENGIRA!.pdf,1.0,automatico,comercializacion|mercartes|stand
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/3TR2025/COMERCIALIZACIÓN/MERCARTES/PRODUCCIÓN/Factura pccomponentes TV.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/3TR2025/COMERCIALIZACIÓN/MERCARTES/PRODUCCIÓN/Factura No. 2025 E 000629 - enGira.pdf,0.78,automatico,contabilidad
